id,title,action,category,subcategory,bucket,source_file,source_hint,raw
orch-60,Design Mockups: Create visual mockups for key states,Create,Orchestrator,Next Steps,Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Next Steps,Design Mockups: Create visual mockups for key states
orch-59,Prioritize: Decide which tools are most critical for initial release,Prioritize,Orchestrator,Next Steps,Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Next Steps,Prioritize: Decide which tools are most critical for initial release
orch-61,Technical Spike: Prototype tool execution system,Prototype,Orchestrator,Next Steps,Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Next Steps,Technical Spike: Prototype tool execution system
orch-58,Review & Approve: User reviews this plan and provides feedback,Review,Orchestrator,Next Steps,Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Next Steps,Review & Approve: User reviews this plan and provides feedback
orch-62,"Iterate: Build, test, refine based on user feedback",Test,Orchestrator,Next Steps,Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Next Steps,"Iterate: Build, test, refine based on user feedback"
orch-37,Add visual state manager (React context or Zustand slice),Add,Orchestrator,Phase 1: Foundation (Week 1),Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Phase 1: Foundation (Week 1),Add visual state manager (React context or Zustand slice)
orch-35,Create tool registry system,Create,Orchestrator,Phase 1: Foundation (Week 1),Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Phase 1: Foundation (Week 1),Create tool registry system
orch-34,Define tool schemas in JSON format,Define,Orchestrator,Phase 1: Foundation (Week 1),Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Phase 1: Foundation (Week 1),Define tool schemas in JSON format
orch-38,Design tool execution UI components,Design,Orchestrator,Phase 1: Foundation (Week 1),Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Phase 1: Foundation (Week 1),Design tool execution UI components
orch-36,Implement tool execution handler,Implement,Orchestrator,Phase 1: Foundation (Week 1),Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Phase 1: Foundation (Week 1),Implement tool execution handler
orch-43,Add error handling for tools,Add,Orchestrator,Phase 2: Core Tools (Week 2),Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Phase 2: Core Tools (Week 2),Add error handling for tools
orch-41,Add tool execution feedback UI,Add,Orchestrator,Phase 2: Core Tools (Week 2),Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Phase 2: Core Tools (Week 2),Add tool execution feedback UI
orch-42,Create tool call/response logging,Create,Orchestrator,Phase 2: Core Tools (Week 2),Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Phase 2: Core Tools (Week 2),Create tool call/response logging
orch-39,Implement Navigation tools,Implement,Orchestrator,Phase 2: Core Tools (Week 2),Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Phase 2: Core Tools (Week 2),Implement Navigation tools
orch-40,Implement Settings & System tools,Implement,Orchestrator,Phase 2: Core Tools (Week 2),Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Phase 2: Core Tools (Week 2),Implement Settings & System tools
orch-44,Implement Module Interaction tools,Implement,Orchestrator,Phase 3: Module Integration (Week 3),Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Phase 3: Module Integration (Week 3),Implement Module Interaction tools
orch-47,Implement Workflow tools,Implement,Orchestrator,Phase 3: Module Integration (Week 3),Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Phase 3: Module Integration (Week 3),Implement Workflow tools
orch-48,Test cross-app tool execution,Test,Orchestrator,Phase 3: Module Integration (Week 3),Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Phase 3: Module Integration (Week 3),Test cross-app tool execution
orch-51,Add screenshot capability (for future multimodal),Add,Orchestrator,Phase 4: Screen Interaction (Week 4),Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Phase 4: Screen Interaction (Week 4),Add screenshot capability (for future multimodal)
orch-49,Enhance screen awareness with richer context,Do,Orchestrator,Phase 4: Screen Interaction (Week 4),Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Phase 4: Screen Interaction (Week 4),Enhance screen awareness with richer context
orch-50,"Implement Screen Interaction tools (simulated clicks, fills)",Implement,Orchestrator,Phase 4: Screen Interaction (Week 4),Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Phase 4: Screen Interaction (Week 4),"Implement Screen Interaction tools (simulated clicks, fills)"
orch-52,Implement context history tracking,Implement,Orchestrator,Phase 4: Screen Interaction (Week 4),Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Phase 4: Screen Interaction (Week 4),Implement context history tracking
orch-53,Animation refinements for all states,Do,Orchestrator,Phase 5: Polish & Testing (Week 5),Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Phase 5: Polish & Testing (Week 5),Animation refinements for all states
orch-55,Comprehensive error handling,Do,Orchestrator,Phase 5: Polish & Testing (Week 5),Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Phase 5: Polish & Testing (Week 5),Comprehensive error handling
orch-57,Documentation and examples,Do,Orchestrator,Phase 5: Polish & Testing (Week 5),Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Phase 5: Polish & Testing (Week 5),Documentation and examples
orch-54,Performance optimization,Do,Orchestrator,Phase 5: Polish & Testing (Week 5),Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Phase 5: Polish & Testing (Week 5),Performance optimization
orch-56,User testing and feedback iteration,Do,Orchestrator,Phase 5: Polish & Testing (Week 5),Orchestrator,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Phase 5: Polish & Testing (Week 5),User testing and feedback iteration
orch-45,Implement Archiva tools,Implement,Orchestrator,Phase 3: Module Integration (Week 3),Per App Tasks,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Phase 3: Module Integration (Week 3),Implement Archiva tools
orch-46,Implement Planner tools,Implement,Orchestrator,Phase 3: Module Integration (Week 3),Per App Tasks,ORCHESTRATOR_ENHANCEMENT_PLAN.md,Phase 3: Module Integration (Week 3),Implement Planner tools
rev3-32,Add rationales for refactor decisions and setup guidelines,Add,Refactorplanv3,Document,Refactorplanv3,revision_003.md,Section: Document | Target: `docs/IMPLEMENTATION_NOTES.md`,Add rationales for refactor decisions and setup guidelines
rev3-27,Task,Do,Refactorplanv3,Document,Refactorplanv3,revision_003.md,Section: Document | Target: Item,Task
rev3-33,Document new API endpoints and service extension patterns,Document,Refactorplanv3,Document,Refactorplanv3,revision_003.md,Section: Document | Target: Route & Service docs,Document new API endpoints and service extension patterns
